지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),현지기압(hPa),일조(hr),일사(MJ/m2),적설(cm),전운량(10분위),지면온도(°C)
93,북춘천,2023-04-29 22:00,10.8,,5.1,200,77,995.5,,,,9,10.5
93,북춘천,2023-04-29 23:00,10.5,,4.5,200,79,995.9,,,,10,10.3
93,북춘천,2023-04-30 00:00,10.3,,4.3,200,80,996.4,,,,10,10
93,북춘천,2023-04-30 01:00,10.1,,2.2,200,80,996.4,,,,0,9.8
93,북춘천,2023-04-30 02:00,9.6,,2.1,200,80,996.4,,,,1,8.8
93,북춘천,2023-04-30 03:00,8.5,,.9,270,85,996.6,,,,6,7.9
93,북춘천,2023-04-30 04:00,6.9,,1,360,93,996.6,,,,0,7
93,북춘천,2023-04-30 05:00,6.5,,.5,20,92,997,,,,0,6.3
93,북춘천,2023-04-30 06:00,5.5,,.9,20,96,997.3,0,.01,,0,6
93,북춘천,2023-04-30 07:00,8.3,,.5,50,87,998.3,.7,.38,,0,8.8
93,북춘천,2023-04-30 08:00,10.7,,2.8,200,67,998.6,1,1.13,,0,13.3
93,북춘천,2023-04-30 09:00,12.2,,4,200,60,999,1,1.88,,0,17
93,북춘천,2023-04-30 10:00,13.6,,4.2,200,57,999.1,1,2.54,,1,20.5
93,북춘천,2023-04-30 11:00,14.2,,5.6,200,58,999.2,.5,2.04,,7,18.2
93,북춘천,2023-04-30 12:00,15.9,,5.6,200,56,999,.7,2.72,,4,23.1
93,북춘천,2023-04-30 13:00,16,,4.1,200,48,998.3,.9,2.59,,8,20.8
93,북춘천,2023-04-30 14:00,16.7,0,2.9,250,43,998.4,.5,.9,,9,18.6
93,북춘천,2023-04-30 15:00,16.2,,3.2,200,45,998,.9,.76,,10,16.3
93,북춘천,2023-04-30 16:00,16.5,0,3.5,250,44,998.1,1,.84,,10,17
93,북춘천,2023-04-30 17:00,16.9,0,2.1,200,42,997.2,.8,1.06,,4,17.8
93,북춘천,2023-04-30 18:00,16.2,0,1.2,270,48,997.4,0,.35,,9,15.5
93,북춘천,2023-04-30 19:00,15.1,0,1,360,57,997,0,.21,,8,13.5
93,북춘천,2023-04-30 20:00,12.8,,.9,360,72,997.7,0,0,,9,12.1
93,북춘천,2023-04-30 21:00,13,,.9,70,70,998.7,,,,7,11.8
93,북춘천,2023-04-30 22:00,13.9,,3.7,180,62,999.4,,,,9,11.6
93,북춘천,2023-04-30 23:00,13.3,,2,180,65,999.5,,,,8,11.3
93,북춘천,2023-05-01 00:00,11.8,0,2.1,200,79,999.9,,,,10,10.8
95,철원,2023-04-29 01:00,11.9,2.6,.7,340,99,993.9,,,,8,13.3
95,철원,2023-04-29 02:00,11.8,4.3,.5,20,99,992.9,,,,10,13
95,철원,2023-04-29 03:00,12,3,.9,340,99,992.2,,,,10,13
95,철원,2023-04-29 04:00,12,3.8,.6,70,100,990.9,,,,10,12.9
95,철원,2023-04-29 05:00,12,1.8,.3,0,100,989.8,,,,10,13
95,철원,2023-04-29 06:00,12.1,.6,.6,320,100,989.1,0,0,,10,13
95,철원,2023-04-29 07:00,12.3,.1,.2,0,99,989,0,0,,10,13.3
95,철원,2023-04-29 08:00,12.5,,.2,0,99,988,0,.07,,10,13.9
95,철원,2023-04-29 09:00,13.4,.8,.3,0,99,987.3,0,.16,,10,14.5
95,철원,2023-04-29 10:00,14.7,2.4,1.8,200,97,986.8,0,.11,,10,14.8
95,철원,2023-04-29 11:00,14.7,.9,3.1,200,94,986.4,0,.07,,10,14.8
95,철원,2023-04-29 12:00,13.6,2.4,3,200,94,986.6,0,.19,,10,14.5
95,철원,2023-04-29 13:00,13.8,1.5,1.2,230,95,986.2,0,.27,,10,15.6
95,철원,2023-04-29 14:00,13.8,.4,2.5,230,93,985.4,0,.41,,9,15.7
95,철원,2023-04-29 15:00,13.1,,3,230,90,985.6,.1,.63,,9,16.3
95,철원,2023-04-29 16:00,13.8,,3.3,230,83,985.5,.5,1.36,,8,18
95,철원,2023-04-29 17:00,14.3,.1,4.1,230,67,985.8,.8,1.42,,7,17.8
95,철원,2023-04-29 18:00,13,,3.7,230,65,986.2,.5,.82,,8,15
95,철원,2023-04-29 19:00,12,,2.9,230,67,986.4,0,.25,,7,12.6
95,철원,2023-04-29 20:00,10.5,,4.5,230,73,987.5,0,0,,0,11
95,철원,2023-04-29 21:00,10,,3.8,230,80,988.3,,,,10,10.6
95,철원,2023-04-29 22:00,9.4,0,3.1,200,85,988.8,,,,10,10.3
95,철원,2023-04-29 23:00,9.3,,2.9,200,82,989.4,,,,10,10
95,철원,2023-04-30 00:00,9.1,,2.9,200,83,990.1,,,,10,9.8
95,철원,2023-04-30 01:00,9.1,,2.8,200,84,989.9,,,,0,9.6
95,철원,2023-04-30 02:00,9.1,,1.9,200,80,990.1,,,,0,9.6
95,철원,2023-04-30 03:00,8.6,,2.9,200,80,990.2,,,,2,9
95,철원,2023-04-30 04:00,8.3,,2.7,200,79,990.4,,,,7,8.3
95,철원,2023-04-30 05:00,7.4,,2.1,200,84,990.4,,,,0,6.9
95,철원,2023-04-30 06:00,6.6,,1.6,250,88,990.8,0,0,,0,6.5
95,철원,2023-04-30 07:00,8.6,,2.3,230,71,991.5,.8,.36,,0,7.6
95,철원,2023-04-30 08:00,9.4,,3.8,230,70,991.8,1,1.08,,0,10.6
95,철원,2023-04-30 09:00,10.9,,2.3,200,63,992.3,1,1.82,,0,16.5
95,철원,2023-04-30 10:00,12.3,,2.3,200,57,992.5,1,2.39,,0,19.2
95,철원,2023-04-30 11:00,12.8,,3.5,230,56,992.8,.2,1.36,,7,16.9
95,철원,2023-04-30 12:00,15,,3.6,230,47,992.2,.8,2.81,,7,24.6
95,철원,2023-04-30 13:00,16.5,,3.5,250,44,991.6,1,3.45,,8,26.8
95,철원,2023-04-30 14:00,14.3,0,2.1,270,50,991.9,.6,1.54,,9,19.6
95,철원,2023-04-30 15:00,14.6,0,1.9,250,48,991.6,.8,1.45,,10,19.1
95,철원,2023-04-30 16:00,14.6,,3.9,200,45,990.3,.4,.99,,10,17.4
95,철원,2023-04-30 17:00,14.3,0,3.3,200,45,990.1,0,.47,,10,15.1
95,철원,2023-04-30 18:00,14.9,0,2.7,230,46,989.6,.7,.78,,5,14.6
95,철원,2023-04-30 19:00,14.2,,.6,250,53,990.2,.3,.28,,6,12.9
95,철원,2023-04-30 20:00,12.9,,1,180,66,991.1,0,0,,8,11.7
95,철원,2023-04-30 21:00,12.8,,2.5,200,72,991.9,,,,8,11.3
95,철원,2023-04-30 22:00,12.1,,1.3,200,77,992.8,,,,7,10.9
95,철원,2023-04-30 23:00,11.5,,2.8,200,82,993,,,,6,10.8
95,철원,2023-05-01 00:00,10.7,,1.6,160,87,993.6,,,,7,9.6
98,동두천,2023-04-29 01:00,12.8,3.7,0,0,96,998,,,,10,14.5
98,동두천,2023-04-29 02:00,13.1,3.8,0,0,97,997,,,,10,14.3
98,동두천,2023-04-29 03:00,13.3,3.1,0,0,99,996.1,,,,10,14.3
98,동두천,2023-04-29 04:00,13.3,1.4,0,0,100,994.8,,,,10,14.3
98,동두천,2023-04-29 05:00,13.4,.9,.6,270,100,993.9,,,,10,14.3
98,동두천,2023-04-29 06:00,14.1,.6,1.5,180,100,993.2,0,0,,10,14.5
98,동두천,2023-04-29 07:00,14.3,0,1.6,160,100,993.2,0,.01,,9,14.6
98,동두천,2023-04-29 08:00,14.6,.1,.8,160,100,992.3,0,.06,,10,15.1
98,동두천,2023-04-29 09:00,14.6,2.2,.8,180,100,991.7,0,.08,,10,15.1
98,동두천,2023-04-29 10:00,14.6,.8,3.1,230,100,991.6,0,.12,,10,15.3
98,동두천,2023-04-29 11:00,13.6,2,2.6,230,100,991.8,0,.07,,10,14.6
98,동두천,2023-04-29 12:00,13.1,2.3,1.5,180,97,991.5,0,.15,,10,14.6
98,동두천,2023-04-29 13:00,13.1,.6,2.4,230,97,991.3,0,.3,,10,15.3
98,동두천,2023-04-29 14:00,12.1,.3,2.5,200,97,990.8,0,.18,,9,14.8
98,동두천,2023-04-29 15:00,12.8,,2.7,230,95,990.7,0,.39,,9,15.9
98,동두천,2023-04-29 16:00,14.1,,3.5,250,83,991.1,.3,1.05,,8,18.6
98,동두천,2023-04-29 17:00,13.2,,4.2,270,75,991.5,.4,.96,,8,16.2
98,동두천,2023-04-29 18:00,12.3,,4.3,250,73,991.2,.2,.5,,9,14.3
98,동두천,2023-04-29 19:00,10.6,,4.8,230,81,991.8,.2,.27,,8,12.3
98,동두천,2023-04-29 20:00,9.8,0,4.1,230,87,992.6,0,0,,3,11.6
98,동두천,2023-04-29 21:00,9.6,0,3.7,270,86,993.7,,,,9,11.3
98,동두천,2023-04-29 22:00,9.5,,3.3,250,84,994.2,,,,10,10.7
98,동두천,2023-04-29 23:00,9.1,,2.6,250,87,994.6,,,,10,10.6
98,동두천,2023-04-30 00:00,9.1,,2,250,88,995,,,,8,10.6
98,동두천,2023-04-30 01:00,8.6,,3,250,88,995.2,,,,6,9.5
98,동두천,2023-04-30 02:00,7.9,,3.1,230,89,995.3,,,,6,8.3
98,동두천,2023-04-30 03:00,7.5,,1.6,200,90,995.3,,,,5,7.6
98,동두천,2023-04-30 04:00,6.4,,1.1,140,92,995.1,,,,2,7
98,동두천,2023-04-30 05:00,5.8,,0,0,93,995.6,,,,0,6.8
98,동두천,2023-04-30 06:00,5.6,,0,0,95,996.1,0,.01,,0,6.5
98,동두천,2023-04-30 07:00,7.4,,.5,110,91,996.4,.5,.38,,2,8.2
98,동두천,2023-04-30 08:00,9.9,,.9,250,77,996.9,.7,.88,,5,10.6
98,동두천,2023-04-30 09:00,12.6,,2.7,200,70,997.2,1,1.79,,2,14.5
98,동두천,2023-04-30 10:00,12.3,,3.3,230,68,997.7,.4,1.7,,7,17.2
98,동두천,2023-04-30 11:00,14.1,,3.2,230,52,997.7,.8,2.43,,8,20.7
98,동두천,2023-04-30 12:00,15.2,,1.9,230,53,997.1,0,1.59,,7,21.3
98,동두천,2023-04-30 13:00,14.3,,2.3,250,55,996.7,0,1.05,,10,17.9
98,동두천,2023-04-30 14:00,15.4,,4.3,250,43,996.3,.2,1.36,,9,19.3
98,동두천,2023-04-30 15:00,14.3,0,4.7,230,44,996,.1,.85,,10,16
98,동두천,2023-04-30 16:00,16,,2.1,250,43,995.1,.2,.79,,10,17.8
98,동두천,2023-04-30 17:00,15.3,,2.1,250,49,995,.3,.8,,9,16
98,동두천,2023-04-30 18:00,15.1,,2.5,200,59,994.3,.4,.56,,7,16.1
98,동두천,2023-04-30 19:00,13.8,,2.4,250,68,995,.1,.23,,8,13.6
98,동두천,2023-04-30 20:00,12.4,,1.5,290,77,995.7,0,.02,,8,12.5
98,동두천,2023-04-30 21:00,11.7,,1.4,270,82,996.5,,,,8,11.6
98,동두천,2023-04-30 22:00,11.5,,1.3,230,85,997.3,,,,6,11
98,동두천,2023-04-30 23:00,11.1,,1.6,250,88,997.8,,,,6,11.1
98,동두천,2023-05-01 00:00,10.8,,1.4,250,90,998.2,,,,8,11.3
99,파주,2023-04-29 01:00,13.1,5.5,.2,0,99,1008.6,,,,10,14.1
99,파주,2023-04-29 02:00,13.1,4.8,.4,0,100,1007.6,,,,10,14.1
99,파주,2023-04-29 03:00,12.8,3.3,1.2,70,100,1006.5,,,,10,14.1
99,파주,2023-04-29 04:00,12.6,1,.9,20,100,1005.3,,,,10,14
99,파주,2023-04-29 05:00,12.8,1.4,.3,0,100,1004.3,,,,10,14
99,파주,2023-04-29 06:00,12.8,0,0,0,100,1003.8,0,0,,9,14
99,파주,2023-04-29 07:00,13.8,0,1.3,200,100,1003.7,0,.02,,9,14.1
99,파주,2023-04-29 08:00,14.3,.2,2.1,200,100,1002.8,0,.07,,10,14.6
99,파주,2023-04-29 09:00,14.3,.2,1.4,230,100,1002.4,0,.1,,10,14.6
99,파주,2023-04-29 10:00,14.1,0,2.9,250,100,1002.5,0,.05,,10,14.5
99,파주,2023-04-29 11:00,12.9,3.1,2.1,230,99,1002.3,0,.15,,10,14.5
99,파주,2023-04-29 12:00,13.3,1.8,1.7,200,99,1001.9,0,.26,,10,15.1
99,파주,2023-04-29 13:00,12,.5,3.6,250,98,1002.3,0,.19,,10,14.2
99,파주,2023-04-29 14:00,15.1,.1,3.2,250,90,1001.3,.1,1.48,,9,21.8
99,파주,2023-04-29 15:00,13.8,,4,230,84,1001.3,.4,1.7,,9,18.6
99,파주,2023-04-29 16:00,14.6,,4,270,72,1001.6,.6,1.75,,7,19.4
99,파주,2023-04-29 17:00,13.5,,5.1,270,67,1002.2,.4,1.19,,8,17
99,파주,2023-04-29 18:00,12,,5.3,250,75,1001.8,.3,.83,,8,15.8
99,파주,2023-04-29 19:00,10.6,,4.8,250,82,1002.6,0,.16,,6,13.5
99,파주,2023-04-29 20:00,10.3,0,4.4,250,84,1003.5,0,0,,6,12.8
99,파주,2023-04-29 21:00,10,,2.9,250,80,1004.6,,,,8,12.1
99,파주,2023-04-29 22:00,9.5,,1.7,250,83,1005.1,,,,10,11.8
99,파주,2023-04-29 23:00,9.2,,2.2,250,87,1005.4,,,,9,11.2
99,파주,2023-04-30 00:00,9.3,,2.3,250,87,1006,,,,5,10.9
99,파주,2023-04-30 01:00,8.3,,2,250,84,1006.2,,,,6,10
99,파주,2023-04-30 02:00,7.1,,.9,230,87,1006.2,,,,0,9
99,파주,2023-04-30 03:00,5.9,,1,180,94,1006.1,,,,0,8.1
99,파주,2023-04-30 04:00,5.9,,1.2,160,96,1005.9,,,,0,7.9
99,파주,2023-04-30 05:00,5.3,,1.2,160,96,1006.5,,,,0,7.5
99,파주,2023-04-30 06:00,5.5,,1,180,98,1007,0,.01,,4,8.1
99,파주,2023-04-30 07:00,8.6,,1.1,230,92,1007,.2,.26,,5,9.8
99,파주,2023-04-30 08:00,9.9,,1.5,200,82,1007.6,0,.5,,6,11.5
99,파주,2023-04-30 09:00,11.8,,2.2,200,75,1008.1,.5,1.16,,6,13.1
99,파주,2023-04-30 10:00,13.4,,3.1,230,66,1008.5,.7,2.01,,7,15.4
99,파주,2023-04-30 11:00,13.4,,2.5,230,60,1008.3,.5,2.1,,7,17.7
99,파주,2023-04-30 12:00,14.7,,3.2,200,61,1008,.1,1.68,,9,19.1
99,파주,2023-04-30 13:00,15.1,,1.9,230,59,1007.5,0,1.51,,10,19.6
99,파주,2023-04-30 14:00,16.3,0,2.8,250,52,1007,.3,2.15,,9,23.3
99,파주,2023-04-30 15:00,15.1,0,3.2,250,48,1006.7,.5,1.92,,10,19.2
99,파주,2023-04-30 16:00,15.7,,3.6,230,51,1005.5,.1,.94,,9,19.2
99,파주,2023-04-30 17:00,14.7,,3.4,230,67,1005.4,.2,.79,,5,17.3
99,파주,2023-04-30 18:00,14,,4.5,230,72,1005.2,.2,.61,,6,16.5
99,파주,2023-04-30 19:00,13,,2.9,230,79,1006,.3,.3,,5,14.8
99,파주,2023-04-30 20:00,11.6,,1.8,200,87,1006.4,0,.02,,7,13.6
99,파주,2023-04-30 21:00,10.9,,.7,270,88,1007.6,,,,6,12.5
99,파주,2023-04-30 22:00,10.3,,.9,230,93,1008.1,,,.1,6,12.1
99,파주,2023-04-30 23:00,10.1,,.6,200,94,1008.7,,,,7,12.1
99,파주,2023-05-01 00:00,9.6,,.8,200,97,1009.1,,,,7,11.7
100,대관령,2023-04-29 01:00,10.8,,4,290,93,923.6,,,,10,10.8
100,대관령,2023-04-29 02:00,11.5,,3.5,320,93,923.3,,,,10,11.1
100,대관령,2023-04-29 03:00,12.1,,3.3,320,90,922.5,,,,9,11.5
100,대관령,2023-04-29 04:00,12.5,,2.1,340,88,921.3,,,,10,11.5
100,대관령,2023-04-29 05:00,12.8,0,2.5,290,91,920.6,,,,8,11.6
100,대관령,2023-04-29 06:00,12.1,.4,1.2,320,93,920.4,0,0,,10,11.5
100,대관령,2023-04-29 07:00,11.8,.5,1.8,360,96,919.7,0,.1,,10,12.3
100,대관령,2023-04-29 08:00,12.6,.2,1.6,290,96,919.3,0,.28,,10,14
100,대관령,2023-04-29 09:00,13.3,.4,3.8,290,94,918.1,0,.5,,9,15.5
100,대관령,2023-04-29 10:00,14.7,,6.6,270,85,917.3,0,.95,,9,16.9
100,대관령,2023-04-29 11:00,14.3,,6.6,270,82,916.5,0,1.25,,10,15.6
100,대관령,2023-04-29 12:00,15.5,,8,270,78,915.3,0,1.45,,9,20.7
100,대관령,2023-04-29 13:00,15.3,0,8,270,79,914.6,.2,2.24,,9,18.4
100,대관령,2023-04-29 14:00,13,2,9.2,270,92,914.4,0,.92,,9,16.4
100,대관령,2023-04-29 15:00,13,.3,8.7,270,85,914.2,.5,2.06,,9,19.8
100,대관령,2023-04-29 16:00,12.3,,9.6,290,79,913.6,.3,1.28,,8,14.9
100,대관령,2023-04-29 17:00,11.8,,9.6,270,76,913.4,0,.67,,9,12.8
100,대관령,2023-04-29 18:00,9.7,,11.5,270,76,913.8,0,.41,,8,10.1
100,대관령,2023-04-29 19:00,8,,9.9,270,77,913.8,0,.16,,6,7.5
100,대관령,2023-04-29 20:00,7.1,,11,270,73,914.2,0,0,,6,6.2
100,대관령,2023-04-29 21:00,6.6,,12.4,270,81,914.7,,,,8,6.3
100,대관령,2023-04-29 22:00,6,,10.4,270,86,915,,,,9,6
100,대관령,2023-04-29 23:00,5.4,,11.1,270,88,915.2,,,,7,5.5
100,대관령,2023-04-30 00:00,4.5,,11.7,270,91,915.7,,,,7,4.9
100,대관령,2023-04-30 01:00,4.4,,10.3,270,92,915.6,,,,9,4.9
100,대관령,2023-04-30 02:00,4.6,,10.4,270,89,915.6,,,,7,4.6
100,대관령,2023-04-30 03:00,4.5,,9.6,270,85,916,,,,0,3.7
100,대관령,2023-04-30 04:00,4.4,,8.9,270,84,916.2,,,,0,3.2
100,대관령,2023-04-30 05:00,4.1,,9.9,270,84,916.3,,,,0,2.7
100,대관령,2023-04-30 06:00,3.9,,8.8,270,84,916.8,.1,.02,,0,2.7
100,대관령,2023-04-30 07:00,5.2,,9.9,270,73,917.4,1,.47,,0,4.1
100,대관령,2023-04-30 08:00,5.9,,10.2,270,71,918.4,1,1.12,,0,8.1
100,대관령,2023-04-30 09:00,7,,9.4,270,68,918.9,1,1.93,,0,13.1
100,대관령,2023-04-30 10:00,8.5,,9.3,270,61,919.4,1,2.72,,0,17.4
100,대관령,2023-04-30 11:00,10,,11.7,270,54,919.4,1,3.26,,0,21.2
100,대관령,2023-04-30 12:00,10.6,,12.5,270,57,919.5,1,3.55,,0,23.1
100,대관령,2023-04-30 13:00,11.5,,12,270,54,919.2,1,3.63,,4,25.7
100,대관령,2023-04-30 14:00,12.3,,11.7,270,46,919.4,1,3.41,,5,25.4
100,대관령,2023-04-30 15:00,12.6,,10.1,270,49,918.9,1,3.01,,5,24.9
100,대관령,2023-04-30 16:00,13.1,,10.2,270,44,918.8,1,2.41,,3,22.5
100,대관령,2023-04-30 17:00,13,,8.4,270,45,918.9,1,1.64,,0,17.9
100,대관령,2023-04-30 18:00,12.3,,9.4,270,44,919.1,1,.92,,1,13.3
100,대관령,2023-04-30 19:00,11.3,,7,270,48,919.7,.4,.21,,2,9.6
100,대관령,2023-04-30 20:00,10.6,,7.4,270,49,920.1,0,.01,,2,8.4
100,대관령,2023-04-30 21:00,10.2,,6.9,290,56,920.8,,,,5,8.1
100,대관령,2023-04-30 22:00,8.5,0,6.9,290,73,921.2,,,,5,7
100,대관령,2023-04-30 23:00,7.4,,5.5,290,82,921.2,,,,5,6.6
100,대관령,2023-05-01 00:00,4.7,3.8,5.8,270,93,922.1,,,,8,5.5
101,춘천,2023-04-29 01:00,14,.5,1.3,250,88,1002.9,,,,7,15.4
101,춘천,2023-04-29 02:00,13.5,1.4,.3,0,92,1002.1,,,,10,15.3
101,춘천,2023-04-29 03:00,13.4,2.9,.4,0,95,1001,,,,10,14.9
101,춘천,2023-04-29 04:00,13.3,2.2,.3,0,95,1000,,,,4,14.8
101,춘천,2023-04-29 05:00,13.3,3.9,.3,0,95,999.2,,,,10,14.6
101,춘천,2023-04-29 06:00,13.3,2.6,1.4,250,95,998.4,0,0,,10,14.5
101,춘천,2023-04-29 07:00,13.4,1.1,0,0,94,998,0,.03,,10,14.9
101,춘천,2023-04-29 08:00,13.6,.9,.3,0,95,997.5,0,.05,,10,14.9
101,춘천,2023-04-29 09:00,13.8,1.4,1,270,95,996.4,0,.08,,10,15.1
101,춘천,2023-04-29 10:00,13.9,4.5,.5,160,95,996.1,0,.1,,10,15.1
101,춘천,2023-04-29 11:00,14.8,.9,2,160,93,995.2,0,.16,,10,15.6
101,춘천,2023-04-29 12:00,15,1.4,.7,160,93,994.8,0,.19,,10,16.1
101,춘천,2023-04-29 13:00,15.1,.9,3.9,200,84,995.1,0,.33,,10,16.1
101,춘천,2023-04-29 14:00,14.9,.2,2,160,87,994.4,0,.36,,10,16.4
101,춘천,2023-04-29 15:00,15.7,,3,160,75,993.8,0,1.01,,9,18.4
101,춘천,2023-04-29 16:00,14.4,0,4,200,74,994.7,0,.77,,9,17.2
101,춘천,2023-04-29 17:00,14.4,,3.4,180,65,994.7,0,.8,,9,16.7
101,춘천,2023-04-29 18:00,13.7,,3.1,180,62,995.1,0,.45,,8,14.8
101,춘천,2023-04-29 19:00,13,,2.4,200,59,995.3,0,.21,,9,13.4
101,춘천,2023-04-29 20:00,12,,4.6,200,63,996.2,0,.01,,1,12
101,춘천,2023-04-29 21:00,11.4,,2.5,230,67,997.1,,,,1,11.6
